rsiBuy,rsiSell,atrMult,adxMin,trades,closedTrades,winRate,pnl,maxDrawdown,score
25,75,2.5,18,21,10,40,3564.28,2066.25,1.72
25,75,2.5,20,21,10,40,3564.28,2066.25,1.72
25,65,2.5,20,21,10,40,3153.2,2066.25,1.53
25,65,2.5,18,21,10,40,2894.73,2066.25,1.4
25,70,2.5,20,21,10,40,1399.25,2066.25,0.68
25,70,2.5,18,21,10,40,1140.78,2066.25,0.55
25,65,2,12,21,10,50,754.54,2985.8,0.25
25,65,2,15,21,10,50,754.54,2985.8,0.25
25,65,2,18,21,10,50,642.51,2985.8,0.22
25,65,2,20,21,10,50,642.51,2985.8,0.22
25,65,2.5,12,21,10,40,341.87,2124.76,0.16
25,65,2.5,15,21,10,40,341.87,2124.76,0.16
25,70,2,12,21,10,50,-648.62,2985.8,-0.22
25,70,2,15,21,10,50,-648.62,2985.8,-0.22
25,75,2,12,21,10,50,-648.62,2985.8,-0.22
25,75,2,15,21,10,50,-648.62,2985.8,-0.22
25,70,2,18,21,10,50,-760.66,2985.8,-0.25
25,70,2,20,21,10,50,-760.66,2985.8,-0.25
25,75,2,18,21,10,50,-760.66,2985.8,-0.25
25,75,2,20,21,10,50,-760.66,2985.8,-0.25
25,65,1.5,18,23,11,27.27,-2464.08,4374.19,-0.56
25,65,1.5,20,23,11,27.27,-2464.08,4374.19,-0.56
25,70,1.5,18,23,11,27.27,-2464.08,4374.19,-0.56
25,70,1.5,20,23,11,27.27,-2464.08,4374.19,-0.56
25,75,1.5,18,23,11,27.27,-2464.08,4374.19,-0.56
25,75,1.5,20,23,11,27.27,-2464.08,4374.19,-0.56
30,75,2.5,20,40,20,20,-7594.38,11645.26,-0.65
25,65,1.5,12,25,12,25,-2878.23,4374.19,-0.66
25,65,1.5,15,25,12,25,-2878.23,4374.19,-0.66
25,70,1.5,12,25,12,25,-2878.23,4374.19,-0.66
25,70,1.5,15,25,12,25,-2878.23,4374.19,-0.66
25,70,2.5,12,21,10,40,-1412.09,2124.76,-0.66
25,70,2.5,15,21,10,40,-1412.09,2124.76,-0.66
25,75,1.5,12,25,12,25,-2878.23,4374.19,-0.66
25,75,1.5,15,25,12,25,-2878.23,4374.19,-0.66
25,75,2.5,12,21,10,40,-1412.09,2124.76,-0.66
25,75,2.5,15,21,10,40,-1412.09,2124.76,-0.66
30,65,1.5,15,56,28,21.43,-8172.39,12378.07,-0.66
30,65,2,20,42,21,19.05,-9289.95,14011.21,-0.66
30,65,1.5,18,56,28,21.43,-8360.47,12566.14,-0.67
30,65,2.5,20,40,20,20,-8353.52,12429.57,-0.67
30,70,2.5,20,40,20,20,-8353.52,12429.57,-0.67
30,65,1.5,12,58,29,20.69,-9035.5,13241.17,-0.68
30,65,1.5,20,52,26,19.23,-8930.45,13136.13,-0.68
30,70,1.5,15,56,28,21.43,-8871.71,13077.39,-0.68
30,70,1.5,18,56,28,21.43,-9059.79,13265.47,-0.68
30,75,1.5,15,56,28,21.43,-8871.71,13077.39,-0.68
30,75,1.5,18,56,28,21.43,-9059.79,13265.47,-0.68
30,70,1.5,12,58,29,20.69,-9734.82,13940.49,-0.7
30,70,1.5,20,52,26,19.23,-9629.78,13835.45,-0.7
30,75,1.5,12,58,29,20.69,-9734.82,13940.49,-0.7
30,75,1.5,20,52,26,19.23,-9629.78,13835.45,-0.7
30,65,2.5,18,44,22,18.18,-10729.46,14805.51,-0.72
30,70,2.5,18,44,22,18.18,-10729.46,14805.51,-0.72
30,65,2,15,46,23,21.74,-10610.08,14544.74,-0.73
30,65,2,12,46,23,21.74,-10701.75,14544.74,-0.74
30,65,2,18,46,23,21.74,-10797.58,14544.74,-0.74
30,70,2,20,42,21,19.05,-10693.11,14380.14,-0.74
30,75,2,20,42,21,19.05,-10693.11,14380.14,-0.74
35,65,2,18,69,34,32.35,-12473.77,16898.67,-0.74
30,75,2.5,18,44,22,18.18,-9711.85,12880.23,-0.75
35,65,2,15,71,35,31.43,-14057.79,18670.2,-0.75
30,65,2.5,12,44,22,18.18,-12774.01,16850.05,-0.76
30,65,2.5,15,44,22,18.18,-12854.59,16930.64,-0.76
30,70,2.5,12,44,22,18.18,-12774.01,16850.05,-0.76
30,70,2.5,15,44,22,18.18,-12854.59,16930.64,-0.76
35,65,1.5,18,91,45,24.44,-13330.18,17535.86,-0.76
35,70,1.5,18,91,45,24.44,-13592.43,17798.11,-0.76
35,70,2.5,18,59,29,17.24,-11469.72,15129.71,-0.76
30,70,2,12,46,23,21.74,-12104.92,15791.94,-0.77
30,70,2,15,46,23,21.74,-12013.25,15700.28,-0.77
30,70,2,18,46,23,21.74,-12200.75,15887.78,-0.77
30,75,2,12,46,23,21.74,-12104.92,15791.94,-0.77
30,75,2,15,46,23,21.74,-12013.25,15700.28,-0.77
30,75,2,18,46,23,21.74,-12200.75,15887.78,-0.77
35,65,1.5,15,95,47,25.53,-14375.82,18581.5,-0.77
35,65,1.5,20,87,43,23.26,-13869.4,18075.08,-0.77
35,65,2,20,67,33,30.3,-14389.04,18697.9,-0.77
35,75,1.5,18,91,45,24.44,-13803.57,18009.24,-0.77
35,65,2.5,18,59,29,17.24,-12688.96,16348.95,-0.78
35,70,1.5,15,95,47,25.53,-14638.07,18843.75,-0.78
35,70,1.5,20,87,43,23.26,-14568.72,18774.4,-0.78
35,70,2,18,69,34,32.35,-13439.86,17126.89,-0.78
35,75,1.5,15,95,47,25.53,-14849.21,19054.88,-0.78
35,75,1.5,20,87,43,23.26,-14568.72,18774.4,-0.78
35,65,1.5,12,97,48,25,-15960.27,20165.94,-0.79
35,65,2,12,75,37,32.43,-15316.51,19509.74,-0.79
35,70,1.5,12,97,48,25,-16659.59,20865.26,-0.8
35,70,2,15,71,35,31.43,-15023.89,18710.91,-0.8
35,70,2.5,15,61,30,20,-15045.87,18705.86,-0.8
35,75,1.5,12,97,48,25,-16659.59,20865.26,-0.8
35,75,2,18,69,34,32.35,-14931.51,18618.53,-0.8
35,70,2,20,67,33,30.3,-15792.2,19479.23,-0.81
35,70,2.5,12,63,31,25.81,-15495.38,19155.37,-0.81
30,75,2.5,12,44,22,18.18,-14179.9,17348.28,-0.82
30,75,2.5,15,44,22,18.18,-14260.48,17428.86,-0.82
35,65,2.5,12,63,31,25.81,-16277.54,19937.54,-0.82
35,65,2.5,15,61,30,20,-16265.11,19925.1,-0.82
35,65,2.5,20,57,28,14.29,-17123.43,20783.43,-0.82
35,70,2,12,75,37,32.43,-16719.68,20406.7,-0.82
35,70,2.5,20,57,28,14.29,-16341.27,20001.26,-0.82
35,75,2,15,71,35,31.43,-16515.53,20202.56,-0.82
35,75,2,20,67,33,30.3,-16916.92,20603.94,-0.82
35,75,2,12,75,37,32.43,-17844.39,21531.42,-0.83
35,75,2.5,18,59,29,17.24,-15523.68,18692.06,-0.83
35,75,2.5,12,63,31,25.81,-19026.61,22194.99,-0.86
35,75,2.5,15,61,30,20,-19099.83,22268.21,-0.86
35,75,2.5,20,57,28,14.29,-20321.53,23489.91,-0.87